# 公文助手内置校对词表 v1
#
# 级别：必错 = 可一键替换；疑似 = 只提示不自动改；提示 = 弱提示，可整组关闭
# 命中条件：总是 / 后接:A|B / 不后接:A|B / 前接:A|B / 不前接:A|B / 正则:...
#   「后接」「前接」由程序检查邻近字符实现，不走正则——Rust regex 不支持环视，
#   不要在「正则:」里写 (?=) (?<=)，写了也编译不过。
# 分组：错别字 近义混淆 语病 套话虚词 称谓规范 公文用语
# 启用：是/否。内置条目可改、可停用、可恢复默认，但不可删除。
#
# 以 # 开头的行与空行由解析器跳过。列之间用制表符分隔。
条目编号	错误写法	建议写法	级别	命中条件	分组	说明	启用
SYN-014	截止	截至	疑似	正则:截止(目前|今天|今年|本月|上月|当前|[0-9])	近义混淆	「截至＋时间点」；「截止」是动词（报名截止）	是
SYN-015	中止	终止	疑似	总是	近义混淆	中止＝中途暂停可恢复；终止＝结束不再继续	是
SYN-016	违犯	违反	疑似	后接:规定|制度|纪律|程序|要求|办法	近义混淆	违反规定；违犯多指法律	是
SYN-017	受权	授权	疑似	总是	近义混淆	授权＝给出权限；受权＝接受权限	是
SYN-018	纪录	记录	疑似	不后接:片	近义混淆	纪录＝最好成绩；记载事项用「记录」	是
SYN-019	考查	考察	疑似	后接:调研|学习|团|干部|组	近义混淆	考察＝实地观察；考查＝检验评定	是
SYN-020	过度	过渡	疑似	后接:期|阶段|时期|方案|措施	近义混淆	过渡＝中间阶段；过度＝超过限度	是
SYN-021	布置	部署	疑似	前接:全面|统一|专门|全局|工作	近义混淆	部署＝全局性安排；布置＝具体事项安排	是
SYN-022	简捷	简洁	疑似	后接:明了|清晰|明快	近义混淆	简洁指文字；简捷指便捷	是
SYN-023	审订	审定	疑似	总是	近义混淆	审定＝审查后决定；审订＝审阅并修订	是
SYN-024	呈送	呈报	疑似	后接:情况|方案|请示|事项	近义混淆	呈报事项；呈送文件实体	是
SYN-025	其间	期间	疑似	总是	近义混淆	「期间」前须有时段词；「其间」指代前文	是
SYN-026	订金	定金	疑似	总是	近义混淆	二者法律含义不同，涉合同事项须核准	是
SYN-027	施行	实施	疑似	后接:方案|细则|措施|计划	近义混淆	施行＝法规生效；实施＝具体执行	是
SYN-028	协同	会同	疑似	后接:办理|研究|起草|审核	近义混淆	会同＝共同办理且主办明确；协同＝配合	是
# ── 语病 ──────────────────────────────────────────────────────────
GRM-001	通过使	删去「通过」或「使」	必错	正则:通过[^，。；]{2,40}，\s*使	语病	「通过…使…」句缺主语，二者只能留一个	是
GRM-002	由于使	删去「由于」或「使」	必错	正则:由于[^，。；]{2,40}，\s*使	语病	同上，缺主语	是
GRM-003	超过以上	「超过N」或「N以上」	必错	正则:超过[^，。；]{1,20}以上	语病	语义重复，二者留一	是
GRM-004	大约左右	「大约N」或「N左右」	必错	正则:(大约|约|近)[^，。；]{1,15}(左右|上下)	语病	概数重复	是
GRM-005	减少倍	改用分数或百分比	必错	正则:(减少|降低|下降|缩短|压缩)了?[0-9一二三四五六七八九十百]+倍	语病	倍数只能表示增加，减少须用分数或百分比	是
GRM-006	原因是由于造成的	「原因是…」或「由于…造成」	必错	正则:原因是(由于|因为)[^。]{2,40}(造成|引起|导致)的	语病	句式杂糅	是
GRM-007	付诸于	付诸	必错	总是	语病	「诸」即「之于」，不再加「于」	是
GRM-008	涉及到	涉及	必错	总是	语病	「及」即「到」	是
GRM-009	凯旋归来	凯旋	必错	总是	语病	「凯旋」已含归来之义	是
GRM-010	亲眼目睹	亲眼看到／目睹	必错	总是	语病	语义重复	是
GRM-011	免费赠送	赠送	必错	总是	语病	语义重复	是
GRM-012	悬殊很大	悬殊／差距很大	必错	总是	语病	「悬殊」已含差距很大	是
GRM-013	基本上完全	基本上／完全	必错	总是	语病	矛盾修饰	是
GRM-014	当务之急	去掉「目前的」	疑似	前接:目前的|现在的|当前的	语病	「当务之急」已含当前之义	是
GRM-015	莅临	改用「到」「来」	疑似	前接:我|我们|本单位|我单位|我局|我办	语病	「莅临」是敬语，不能用于己方	是
GRM-016	进行了研究	研究了	提示	总是	语病	「进行」多为冗余	是
GRM-017	进行了讨论	讨论了	提示	总是	语病	同上	是
GRM-018	的的	的	必错	总是	语病	重复字	是
# ── 套话虚词（整组默认关闭，按本单位口味自行启用）──────────────────
CLI-001	高度重视	写明谁重视、怎么重视	提示	总是	套话虚词	空泛表态，建议落到实处	否
CLI-002	切实加强	写明加强什么、怎么加强	提示	总是	套话虚词		否
CLI-003	狠抓落实	写明抓什么、谁来抓	提示	总是	套话虚词		否
CLI-004	全力以赴	写明投入哪些资源	提示	总是	套话虚词		否
CLI-005	深入贯彻落实	贯彻落实	提示	总是	套话虚词	「深入」多为虚词	否
CLI-006	进一步加大力度	写明加大到什么程度	提示	总是	套话虚词		否
CLI-007	扎实推进	推进	提示	总是	套话虚词		否
CLI-008	不断完善	完善	提示	总是	套话虚词		否
CLI-009	积极探索	探索	提示	总是	套话虚词		否
CLI-010	努力实现	实现	提示	总是	套话虚词		否
CLI-011	抓手	改为具体措施名称	提示	总是	套话虚词	口语化表述	否
CLI-012	亮点	改为具体成效	提示	总是	套话虚词	口语化表述	否
CLI-013	痛点	改为具体问题	提示	总是	套话虚词	口语化表述	否
CLI-014	组合拳	改为具体措施	提示	总是	套话虚词	口语化表述	否
CLI-015	一把手	主要负责同志	提示	总是	套话虚词	公文不用口语称谓	否
# ── 称谓规范（各单位、各层级要求不同，这一组最需要你自己扩充）────────
TTL-001	习总书记	习近平总书记	必错	总是	称谓规范	领导人称谓不得简称	是
TTL-002	党中央国务院	党中央、国务院	必错	总是	称谓规范	并列机关名称之间用顿号	是
TTL-003	总书记讲话	总书记重要讲话	疑似	不前接:重要	称谓规范	规范表述为「重要讲话」	是
TTL-004	中央领导同志	写明具体职务姓名或按上级规范表述	提示	总是	称谓规范	视行文层级而定	否
# ── 公文用语 ──────────────────────────────────────────────────────
FML-002	此致敬礼	特此函达／专此函达	疑似	总是	公文用语	「此致敬礼」是书信结语，公文不用	是
FML-003	特此请示	妥否，请批示	疑似	总是	公文用语	请示结语的规范表述	是
FML-004	请阅示	请审阅／请批示	疑似	总是	公文用语	「阅示」含义含混，宜写明要对方做什么	是
FML-005	以上意见妥否	妥否，请批示	疑似	不后接:，请	公文用语	结语宜用规范格式	是
FML-006	特此报告	特此报告	提示	总是	公文用语	报告结语可用，但报告中不得夹带请示事项	否
